"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"12030102","Operaciones Extrabursátiles","12.03.01.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"12030103","ContratodeUnderwriting","12.03.01.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"12030201","PorContratosdeAdministraciónPortafoliodeTerceros","12.03.02.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"12030202","PorManejodeFondosAdministrados","12.03.02.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"12030203","Por ManejodeFideicomisos","12.03.02.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"12030204","PorManejodeEncargosFiduciarios","12.03.02.04","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"12030205","Porcomisionesdeadministración","12.03.02.05","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"12030301","ValoresMaterializados","12.03.03.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"12030302","ValoresDesmaterializados","12.03.03.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"12030303","PorManejodeLibrodeAccionesyAccionistas","12.03.03.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"12030401","Operaciones","12.03.04.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"12030402","Puestosinactivos","12.03.04.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"120501","Dividendos","12.05.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"120502","Intereses  ","12.05.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"120801","Cuentasporcobraraterceros","12.08.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"120802","Comisionesporcobrar","12.08.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"150101","Enproducción","15.01.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"150102","Endesarrollo","15.01.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"150201","Enproducción","15.02.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"150202","Endesarrollo","15.02.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"170201","Terrenos","17.02.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"170202","Edificios","17.02.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"170203","MaquinariayEquipo","17.02.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"170204","Mueblesyenseres","17.02.04","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"170205","EquipodeComputación","17.02.05","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"170206","Vehículos","17.02.06","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"170601","Concesiones","17.06.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"170602","Licencias","17.06.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"170603","Patentesypropiedadindustrial","17.06.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"170604","Programasdecomputación","17.06.04","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"170605","Costosdeexploraciónydesarrollo","17.06.05","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"170606","Reservasderecursosextraíbles","17.06.06","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"170701","Propiedades","17.07.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"170702","Propiedadesdeinversión","17.07.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"170703","Plusvalíamercantil(Goodwill)","17.07.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"170704","Intangibles","17.07.04","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"180301","Edificios","18.03.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"180302","MaquinariayEquipo","18.03.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"180303","Mueblesyenseres","18.03.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"180304","EquipodeComputación","18.03.04","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"180305","Vehículos","18.03.05","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"180306","Activosadquiridosenarrendamientofinanciero","18.03.06","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"180307","Propiedadesdeinversión","18.03.07","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"180308","Activosdeexploraciónyevaluaciónminera","18.03.08","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"180401","Concesiones","18.04.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"180402","Licencias","18.04.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"180403","Otros","18.04.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"18900101","DepósitosenGarantíaporreporto","18.90.01.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"18900102","DepósitosenGarantíaporoperacionesbursátiles","18.90.01.02","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"18900201","Cuotapatrimonialbolsadevalores","18.90.02.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"189003","AccionesDepósitoCentralizadodeValores","18.90.03","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"18900301","AccionesDepósitoCentralizadodeValores","18.90.03.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"189501","Activoporimpuestodiferido ","18.95.01","account.data_account_type_current_assets","l10n_ec.ec_chart_template","False"
"21010101","Valores","21.01.01.01","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"2101010101","Obligaciones","21.01.01.01.01","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"2101010102","PapelComercial","21.01.01.01.02","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"2101010103","ValoresdeTitularización","21.01.01.01.03","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"2101010104","ObligacionesporArrendamientoFinanciero","21.01.01.01.04","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"2101010105","OtrasEnelexterior","21.01.01.01.05","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"21010201","Préstamos","21.01.02.01","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"21010202","Anticiposrecibidos","21.01.02.02","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"21010203","Otrascuentasydocumentosporpagar","21.01.02.03","account.data_account_type_payable","l10n_ec.ec_chart_template","True"
"21010301","Accionistas","21.01.03.01","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"21010302","Administradores","21.01.03.02","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"21010303","Compañíasrelacionadas/vinculadas","21.01.03.03","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"21010501","Sobregirosbancarios","21.01.05.01","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"21010502","Préstamos","21.01.05.02","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"21010503","Interesesporpagar","21.01.05.03","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"21010504","Porcióncorrientededeudaalargoplazo","21.01.05.04","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"21010505","Obligacionesporcontratosdeunderwriting","21.01.05.05","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"21020101","Comisionesporpagar","21.02.01.01","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"21020102","PorOperacionesBursátiles","21.02.01.02","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"21020103","Porcustodia","21.02.01.03","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"21020104","Poradministración","21.02.01.04","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"21020105","Otrascomisiones","21.02.01.05","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"21020106","Dividendosporpagar","21.02.01.06","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"21020107","Interesesporpagar","21.02.01.07","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"21020108","Proveedores","21.02.01.08","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"21020109","AcreedoresVarios","21.02.01.09","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"210301","Remuneraciones","21.03.01","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"210302","Participacionesdelostrabajadoresenutilidades","21.03.02","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"210303","Beneficiosaempleados","21.03.03","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
"210304","AportesydescuentosalIESS","21.03.04","account.data_account_type_current_liabilities","l10n_ec.ec_chart_template","False"
