"id","code","name","tag_ids/id","user_type_id/id","chart_template_id/id","reconcile"
"account_0601","0601","Anleihen,nichtkonvertibel(b.1Jahr)","l10n_de.tag_de_liabilities_bs_C_1","account.data_account_type_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0605","0605","Anleihen,nichtkonvertibel(1-5Jahre)","l10n_de.tag_de_liabilities_bs_C_1","account.data_account_type_non_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0610","0610","Anleihen,nichtkonvertibel(g.5Jahre)","l10n_de.tag_de_liabilities_bs_C_1","account.data_account_type_non_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0615","0615","Anleihenkonvertibel","l10n_de.tag_de_liabilities_bs_C_1","account.data_account_type_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0616","0616","Anleihenkonvertibel(bis1Jahr)","l10n_de.tag_de_liabilities_bs_C_1","account.data_account_type_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0620","0620","Anleihenkonvertibel(1-5Jahre)","l10n_de.tag_de_liabilities_bs_C_1","account.data_account_type_non_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0625","0625","Anleihenkonvertibel(größer5Jahre)","l10n_de.tag_de_liabilities_bs_C_1","account.data_account_type_non_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0630","0630","Verbindlichkeitengg.Kreditinstituten","l10n_de.tag_de_liabilities_bs_C_2","account.data_account_type_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0631","0631","VerbindlichkeitenKreditinstitut(b.1J)","l10n_de.tag_de_liabilities_bs_C_2","account.data_account_type_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0640","0640","VerbindlichkeitenKreditinstitut(1-5J)","l10n_de.tag_de_liabilities_bs_C_2","account.data_account_type_non_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0650","0650","VerbindlichkeitenKreditinstitut(g.5J)","l10n_de.tag_de_liabilities_bs_C_2","account.data_account_type_non_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0660","0660","TZ-Verbindlichkeit.gg.Kreditinstituten","l10n_de.tag_de_liabilities_bs_C_2","account.data_account_type_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0661","0661","TZ-Verbindlichkeit.Kreditinstitut,b.1J","l10n_de.tag_de_liabilities_bs_C_2","account.data_account_type_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0670","0670","TZ-Verbindlichkeit.Kreditinstitut,1-5J","l10n_de.tag_de_liabilities_bs_C_2","account.data_account_type_non_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0680","0680","TZ-Verbindlichkeit.Kreditinstitut,g.5J","l10n_de.tag_de_liabilities_bs_C_2","account.data_account_type_non_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0699","0699","GegenkontobeiAufteilungKto0690-98","l10n_de.tag_de_liabilities_bs_C_2","account.data_account_type_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0700","0700","Verbindlichk.gegenüberverbundenenUN","l10n_de.tag_de_liabilities_bs_C_6","account.data_account_type_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0701","0701","Verbindlichkeit.gg.verbundeneUN(b.1J)","l10n_de.tag_de_liabilities_bs_C_6","account.data_account_type_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0705","0705","Verbindlichkeit.gg.verbundeneUN(1-5J)","l10n_de.tag_de_liabilities_bs_C_6","account.data_account_type_non_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0710","0710","Verbindlichkeit.gg.verbundeneUN(g.5J)","l10n_de.tag_de_liabilities_bs_C_6","account.data_account_type_non_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0715","0715","Verbindl.gg.UNmitBeteiligungsverh.","l10n_de.tag_de_liabilities_bs_C_7","account.data_account_type_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0716","0716","Verbindl.gg.UNmitBeteiligg.verh.b.1J","l10n_de.tag_de_liabilities_bs_C_7","account.data_account_type_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0720","0720","Verbindl.gg.UNmitBeteiligg.verh.1-5J","l10n_de.tag_de_liabilities_bs_C_7","account.data_account_type_non_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0725","0725","Verbindl.gg.UNmitBeteiligg.verh.g.5J","l10n_de.tag_de_liabilities_bs_C_7","account.data_account_type_non_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0730","0730","Verbindlichkeit.gg.Gesellschaftern","l10n_de.tag_de_liabilities_bs_C_8","account.data_account_type_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0731","0731","Verbindlichkeit.gg.Gesellschafternb.1J","l10n_de.tag_de_liabilities_bs_C_8","account.data_account_type_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0740","0740","Verbindlichkeit.gg.Gesellschaftern1-5J","l10n_de.tag_de_liabilities_bs_C_8","account.data_account_type_non_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0750","0750","Verbindlichkeit.gg.Gesellschafterng.5J","l10n_de.tag_de_liabilities_bs_C_8","account.data_account_type_non_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0755","0755","Verb.gg.Gesellschafternoff.Ausschüttg.","l10n_de.tag_de_liabilities_bs_C_8","account.data_account_type_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
"account_0760","0760","Darlehentyp.stillerGesellschafter","l10n_de.tag_de_liabilities_bs_C_8","account.data_account_type_current_liabilities","l10n_de_skr03.l10n_de_chart_template","False"
