"id","name","code","user_type_id/id","note","chart_template_id/id","nocreate","reconcile"
"chartgr_13_99_01","Αποσβεσμέναλοιπάεπιβατικάαυτοκίνητα","13.99.01","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_99_02","Αποσβεσμέναφορτηγά-Ρυμούλκες-ΕίδικήςΧρήσης","13.99.02","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_13_99_03","κ.λ.π.","13.99.03","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_00","Έπιπλα","14.00","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_01","Σκεύη","14.01","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_02","Μηχανέςγραφείων","14.02","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_03","ΗλεκτρονικοίΥπολογιστέςκαιηλεκτρονικάσυγκροτήματα","14.03","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_04","Μέσααποθήκευσηςκαιμεταφοράς","14.04","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_05","Επιστημονικάόργανα","14.05","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_06","Ζώαγιαπάγιαεκμετάλλευση","14.06","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_08","Εξοπλισμόςτηλεπικοινωνιών","14.08","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_09","Λοιπόςεξοπλισμός","14.09","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_10","Έπιπλαεκτόςεκμετάλλευσης","14.10","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_11","Σκεύη εκτόςεκμετάλλευσης","14.11","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_12","Μηχανέςγραφείωνεκτόςεκμετάλλευσης","14.12","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_13","ΗλεκτρονικοίΥπολογιστέςκαιηλεκτρ.συγκροτήματαεκτόςεκμετάλλευσης","14.13","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_14","Μέσααποθήκευσηςκαιμεταφοράςεκτόςεκμετάλλευσης","14.14","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_15","Επιστημονικάόργαναεκτόςεκμετάλλευσης","14.15","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_16","Ζώαγιαπάγιαεκμετάλλευσηεκτόςεκμετάλλευσης","14.16","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_18","Εξοπλισμόςτηλεπικοινωνιώνεκτόςεκμετάλλευσης","14.18","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
